episode,steps,rewards,done
1,200,-299,0
2,200,-293,0
3,200,-291,0
4,200,-299,0
5,200,-299,0
6,200,-295,0
7,200,-294,0
8,200,-282,0
9,200,-300,0
10,200,-280,0
11,200,-279,0
12,200,-291,0
13,200,-303,0
14,200,-299,0
15,200,-298,0
16,200,-292,0
17,200,-298,0
18,200,-303,0
19,200,-297,0
20,200,-290,0
21,1,99,1
22,200,-300,0
23,200,-291,0
24,200,-299,0
25,1,99,1
26,4,94,1
27,170,-158,1
28,200,-309,0
29,200,-295,0
30,153,-130,1
31,1,99,1
32,200,-298,0
33,147,-116,1
34,200,-300,0
35,200,-300,0
36,64,9,1
37,200,-306,0
38,200,-299,0
39,200,-293,0
40,200,-300,0
41,1,99,1
42,200,-308,0
43,176,-154,1
44,1,99,1
45,200,-300,0
46,2,98,1
47,5,93,1
48,200,-299,0
49,200,-306,0
50,200,-300,0
51,200,-304,0
52,69,0,1
53,13,82,1
54,1,98,1
55,4,94,1
56,192,-187,1
57,200,-301,0
58,200,-298,0
59,200,-303,0
60,200,-289,0
61,200,-295,0
62,104,-52,1
63,1,99,1
64,1,98,1
65,3,96,1
66,1,99,1
67,39,41,1
68,142,-111,1
69,58,16,1
70,9,87,1
71,200,-301,0
72,37,44,1
73,200,-301,0
74,200,-293,0
75,200,-309,0
76,200,-296,0
77,2,98,1
78,80,-16,1
79,200,-303,0
80,8,89,1
81,200,-306,0
82,200,-293,0
83,5,93,1
84,200,-306,0
85,3,97,1
86,200,-293,0
87,5,95,1
88,200,-299,0
89,19,73,1
90,200,-292,0
91,1,99,1
92,40,40,1
93,200,-304,0
94,48,33,1
95,200,-305,0
96,200,-300,0
97,200,-303,0
98,200,-303,0
99,71,-2,1
100,200,-295,0
101,1,99,1
102,1,98,1
103,200,-301,0
104,83,-20,1
105,1,99,1
106,14,82,1
107,63,8,1
108,200,-305,0
109,200,-313,0
110,200,-303,0
111,200,-299,0
112,19,74,1
113,200,-292,0
114,25,66,1
115,57,18,1
116,21,70,1
117,200,-301,0
118,28,61,1
119,183,-171,1
120,200,-299,0
121,200,-296,0
122,143,-111,1
123,199,-202,1
124,14,79,1
125,200,-295,0
126,200,-294,0
127,200,-309,0
128,200,-295,0
129,200,-291,0
130,200,-298,0
131,16,78,1
132,1,99,1
133,136,-103,1
134,5,94,1
135,200,-302,0
136,2,98,1
137,200,-299,0
138,200,-304,0
139,200,-300,0
140,106,-56,1
141,200,-297,0
142,200,-296,0
143,200,-298,0
144,200,-294,0
145,200,-293,0
146,200,-300,0
147,200,-306,0
148,200,-298,0
149,200,-292,0
150,200,-302,0
151,200,-303,0
152,200,-298,0
153,200,-306,0
154,200,-297,0
155,200,-306,0
156,109,-61,1
157,2,98,1
158,27,61,1
159,196,-191,1
160,200,-297,0
161,1,99,1
162,200,-305,0
163,200,-298,0
164,200,-300,0
165,138,-96,1
166,200,-297,0
167,132,-91,1
168,70,-4,1
169,4,94,1
170,119,-76,1
171,1,98,1
172,93,-39,1
173,200,-298,0
174,1,99,1
175,187,-178,1
176,200,-301,0
177,40,45,1
178,19,72,1
179,200,-301,0
180,200,-303,0
181,115,-69,1
182,200,-295,0
183,200,-301,0
184,185,-167,1
185,125,-88,1
186,53,21,1
187,200,-298,0
188,177,-169,1
189,1,99,1
190,200,-304,0
191,148,-124,1
192,200,-304,0
193,1,99,1
194,200,-292,0
195,200,-307,0
196,98,-43,1
197,200,-299,0
198,85,-21,1
199,1,98,1
200,10,86,1
201,27,60,1
202,21,71,1
203,101,-49,1
204,29,62,1
205,1,98,1
206,200,-302,0
207,200,-298,0
208,1,99,1
209,200,-310,0
210,125,-82,1
211,1,98,1
212,200,-306,0
213,200,-295,0
214,30,59,1
215,15,79,1
216,200,-298,0
217,41,40,1
218,200,-314,0
219,200,-291,0
220,200,-298,0
221,200,-299,0
222,86,-20,1
223,4,94,1
224,76,-12,1
225,200,-295,0
226,1,99,1
227,200,-300,0
228,200,-308,0
229,200,-305,0
230,114,-62,1
231,200,-305,0
232,200,-293,0
233,131,-91,1
234,4,95,1
235,136,-98,1
236,181,-168,1
237,1,99,1
238,200,-301,0
239,104,-55,1
240,49,26,1
241,200,-310,0
242,200,-293,0
243,200,-297,0
244,200,-304,0
245,117,-72,1
246,52,23,1
247,6,91,1
248,1,99,1
249,1,98,1
250,200,-301,0
251,7,90,1
252,200,-304,0
253,96,-40,1
254,28,61,1
255,122,-75,1
256,121,-74,1
257,1,98,1
258,8,89,1
259,146,-113,1
260,2,97,1
261,90,-27,1
262,193,-182,1
263,58,17,1
264,200,-309,0
265,200,-299,0
266,141,-103,1
267,200,-310,0
268,200,-295,0
269,200,-290,0
270,59,14,1
271,200,-309,0
272,112,-68,1
273,200,-306,0
274,137,-93,1
275,1,98,1
276,154,-127,1
277,31,55,1
278,55,18,1
279,200,-307,0
280,200,-296,0
281,62,14,1
282,26,63,1
283,143,-106,1
284,42,40,1
285,1,98,1
286,4,95,1
287,6,92,1
288,1,99,1
289,200,-305,0
290,10,88,1
291,169,-152,1
292,1,98,1
293,44,37,1
294,200,-300,0
295,7,91,1
296,200,-304,0
297,200,-295,0
298,20,73,1
299,200,-299,0
300,25,64,1
301,3,96,1
302,4,95,1
303,3,96,1
304,4,95,1
305,74,-6,1
306,163,-140,1
307,19,74,1
308,2,98,1
309,200,-310,0
310,200,-298,0
311,19,73,1
312,179,-165,1
313,2,97,1
314,2,97,1
315,14,80,1
316,1,99,1
317,1,99,1
318,2,97,1
319,1,98,1
320,140,-106,1
321,71,-5,1
322,73,-3,1
323,200,-308,0
324,1,99,1
325,105,-53,1
326,8,89,1
327,2,97,1
328,6,92,1
329,6,92,1
330,146,-113,1
331,1,98,1
332,200,-299,0
333,77,-15,1
334,5,93,1
335,111,-67,1
336,4,95,1
337,3,96,1
338,76,-17,1
339,63,8,1
340,200,-303,0
341,200,-290,0
342,200,-298,0
343,2,98,1
344,1,99,1
345,200,-300,0
346,94,-41,1
347,97,-46,1
348,103,-46,1
349,118,-72,1
350,53,24,1
351,2,97,1
352,126,-91,1
353,11,84,1
354,200,-303,0
355,37,45,1
356,16,77,1
357,171,-154,1
358,24,64,1
359,64,8,1
360,1,98,1
361,200,-303,0
362,128,-85,1
363,26,63,1
364,42,43,1
365,167,-151,1
366,62,12,1
367,45,33,1
368,200,-310,0
369,19,74,1
370,172,-155,1
371,32,56,1
372,44,34,1
373,2,98,1
374,32,53,1
375,8,89,1
376,94,-38,1
377,82,-20,1
378,12,82,1
379,81,-21,1
380,200,-297,0
381,1,99,1
382,3,96,1
383,4,95,1
384,157,-137,1
385,75,-15,1
386,60,8,1
387,200,-293,0
388,63,10,1
389,118,-74,1
390,3,96,1
391,42,41,1
392,1,99,1
393,9,89,1
394,62,9,1
395,90,-31,1
396,44,33,1
397,4,95,1
398,6,92,1
399,144,-114,1
400,200,-303,0
401,164,-141,1
402,11,83,1
403,53,23,1
404,200,-300,0
405,10,85,1
406,1,98,1
407,128,-95,1
408,200,-297,0
409,107,-61,1
410,2,97,1
411,99,-52,1
412,2,97,1
413,1,99,1
414,21,69,1
415,1,99,1
416,3,96,1
417,10,86,1
418,1,98,1
419,200,-304,0
420,109,-62,1
421,145,-115,1
422,67,0,1
423,19,73,1
424,24,66,1
425,1,99,1
426,17,78,1
427,75,-4,1
428,2,97,1
429,4,94,1
430,200,-292,0
431,45,33,1
432,55,16,1
433,139,-105,1
434,18,73,1
435,4,95,1
436,5,93,1
437,1,99,1
438,41,43,1
439,137,-107,1
440,133,-100,1
441,143,-113,1
442,36,46,1
443,1,98,1
444,2,98,1
445,2,97,1
446,5,93,1
447,200,-296,0
448,9,89,1
449,1,98,1
450,53,26,1
451,200,-301,0
452,192,-183,1
453,200,-297,0
454,12,84,1
455,1,99,1
456,167,-150,1
457,107,-57,1
458,6,92,1
459,1,99,1
460,200,-308,0
461,184,-174,1
462,188,-170,1
463,200,-297,0
464,142,-106,1
465,43,38,1
466,123,-82,1
467,64,4,1
468,156,-128,1
469,120,-71,1
470,2,97,1
471,1,99,1
472,8,87,1
473,119,-76,1
474,1,99,1
475,192,-187,1
476,2,97,1
477,15,78,1
478,198,-201,1
479,37,49,1
480,200,-299,0
481,1,99,1
482,18,76,1
483,67,1,1
484,68,3,1
485,1,99,1
486,68,-3,1
487,54,20,1
488,5,93,1
489,7,90,1
490,66,2,1
491,200,-303,0
492,200,-297,0
493,1,99,1
494,8,90,1
495,24,64,1
496,6,91,1
497,1,99,1
498,57,21,1
499,24,66,1
500,50,28,1
501,6,92,1
502,52,23,1
503,18,72,1
504,1,99,1
505,140,-106,1
506,200,-302,0
507,78,-12,1
508,1,99,1
509,89,-31,1
510,15,80,1
511,95,-37,1
512,37,50,1
513,14,81,1
514,105,-57,1
515,4,94,1
516,16,76,1
517,16,79,1
518,59,15,1
519,77,-10,1
520,1,98,1
521,1,99,1
522,1,99,1
523,2,97,1
524,43,35,1
525,200,-300,0
526,108,-61,1
527,127,-83,1
528,174,-165,1
529,20,74,1
530,116,-71,1
531,182,-173,1
532,15,79,1
533,33,53,1
534,1,99,1
535,114,-66,1
536,33,51,1
537,39,45,1
538,130,-90,1
539,1,99,1
540,39,41,1
541,93,-30,1
542,200,-293,0
543,11,86,1
544,27,62,1
545,68,3,1
546,14,82,1
547,2,97,1
548,1,98,1
549,3,95,1
550,54,24,1
551,1,98,1
552,2,97,1
553,2,97,1
554,116,-73,1
555,6,92,1
556,8,89,1
557,54,26,1
558,24,65,1
559,163,-136,1
560,21,68,1
561,10,86,1
562,6,90,1
563,65,1,1
564,136,-97,1
565,47,34,1
566,191,-179,1
567,64,7,1
568,45,34,1
569,105,-59,1
570,179,-165,1
571,18,75,1
572,66,1,1
573,164,-146,1
574,1,99,1
575,2,97,1
576,1,99,1
577,7,91,1
578,1,99,1
579,64,8,1
580,109,-62,1
581,101,-49,1
582,4,94,1
583,133,-97,1
584,87,-25,1
585,82,-21,1
586,41,41,1
587,92,-33,1
588,1,99,1
589,83,-15,1
590,1,99,1
591,39,44,1
592,1,99,1
593,2,97,1
594,29,57,1
595,171,-147,1
596,1,99,1
597,71,-5,1
598,44,41,1
599,34,49,1
600,1,98,1
601,61,9,1
602,1,99,1
603,47,32,1
604,3,96,1
605,23,68,1
606,136,-101,1
607,39,47,1
608,151,-128,1
609,107,-56,1
610,38,45,1
611,1,99,1
612,79,-19,1
613,1,99,1
614,42,41,1
615,54,24,1
616,50,26,1
617,1,98,1
618,11,84,1
619,44,31,1
620,62,12,1
621,200,-302,0
622,111,-63,1
623,85,-29,1
624,7,89,1
625,8,90,1
626,188,-176,1
627,200,-292,0
628,163,-139,1
629,45,33,1
630,200,-302,0
631,18,73,1
632,107,-60,1
633,12,82,1
634,175,-157,1
635,6,92,1
636,7,90,1
637,200,-302,0
638,200,-291,0
639,1,99,1
640,54,24,1
641,1,98,1
642,4,95,1
643,1,98,1
644,4,95,1
645,4,95,1
646,1,99,1
647,2,97,1
648,5,92,1
649,33,51,1
650,66,1,1
651,1,99,1
652,11,86,1
653,7,90,1
654,1,98,1
655,1,99,1
656,73,-7,1
657,4,95,1
658,30,60,1
659,20,73,1
660,5,92,1
661,1,99,1
662,23,65,1
663,50,36,1
664,39,47,1
665,1,99,1
666,79,-15,1
667,6,93,1
668,22,68,1
669,12,82,1
670,1,99,1
671,1,98,1
672,32,55,1
673,1,99,1
674,35,47,1
675,2,97,1
676,117,-73,1
677,1,98,1
678,114,-73,1
679,154,-131,1
680,14,79,1
681,15,80,1
682,44,35,1
683,30,58,1
684,4,95,1
685,71,-1,1
686,14,81,1
687,52,23,1
688,9,88,1
689,144,-102,1
690,200,-296,0
691,200,-188,1
692,79,-15,1
693,92,-35,1
694,23,69,1
695,144,-112,1
696,199,-187,1
697,50,26,1
698,77,-8,1
699,21,69,1
700,5,92,1
701,68,0,1
702,83,-19,1
703,86,-28,1
704,14,80,1
705,69,4,1
706,21,69,1
707,24,67,1
708,7,91,1
709,5,92,1
710,28,58,1
711,6,91,1
712,5,94,1
713,1,99,1
714,26,66,1
715,13,83,1
716,78,-12,1
717,200,-294,0
718,95,-37,1
719,9,88,1
720,1,99,1
721,23,69,1
722,16,78,1
723,29,58,1
724,148,-116,1
725,44,35,1
726,1,99,1
727,16,77,1
728,53,25,1
729,53,22,1
730,6,93,1
731,2,97,1
732,23,66,1
733,5,93,1
734,1,99,1
735,30,60,1
736,1,99,1
737,62,5,1
738,11,85,1
739,50,32,1
740,1,99,1
741,74,-11,1
742,1,99,1
743,123,-85,1
744,49,27,1
745,19,75,1
746,1,99,1
747,59,14,1
748,1,99,1
749,1,99,1
750,24,64,1
751,1,99,1
752,41,39,1
753,35,52,1
754,99,-45,1
755,14,80,1
756,23,66,1
757,31,56,1
758,34,51,1
759,93,-40,1
760,44,35,1
761,1,99,1
762,39,45,1
763,69,-5,1
764,1,99,1
765,3,95,1
766,11,87,1
767,24,66,1
768,89,-35,1
769,16,76,1
770,7,89,1
771,4,95,1
772,5,93,1
773,16,78,1
774,17,76,1
775,22,68,1
776,19,72,1
777,34,47,1
778,27,62,1
779,91,-33,1
780,41,40,1
781,95,-41,1
782,96,-37,1
783,2,96,1
784,101,-46,1
785,23,68,1
786,7,91,1
787,34,52,1
788,2,97,1
789,66,4,1
790,48,32,1
791,1,99,1
792,124,-81,1
793,29,60,1
794,42,44,1
795,33,51,1
796,6,92,1
797,2,97,1
798,50,30,1
799,10,85,1
800,124,-81,1
801,1,99,1
802,22,72,1
803,20,74,1
804,80,-17,1
805,1,98,1
806,52,27,1
807,1,99,1
808,1,99,1
809,16,77,1
810,2,97,1
811,3,96,1
812,13,84,1
813,58,16,1
814,44,38,1
815,24,63,1
816,1,99,1
817,110,-63,1
818,44,39,1
819,42,38,1
820,1,99,1
821,69,2,1
822,22,68,1
823,20,70,1
824,200,-290,0
825,30,59,1
826,1,98,1
827,83,-21,1
828,48,30,1
829,65,7,1
830,12,83,1
831,36,47,1
832,119,-71,1
833,1,99,1
834,13,83,1
835,9,87,1
836,32,55,1
837,59,13,1
838,89,-30,1
839,71,0,1
840,50,30,1
841,77,-11,1
842,4,94,1
843,1,99,1
844,3,96,1
845,20,72,1
846,29,56,1
847,16,76,1
848,35,50,1
849,22,70,1
850,3,95,1
851,103,-48,1
852,200,-291,0
853,15,78,1
854,143,-108,1
855,101,-46,1
856,67,5,1
857,93,-38,1
858,7,89,1
859,1,99,1
860,3,95,1
861,73,-8,1
862,1,99,1
863,4,94,1
864,8,88,1
865,11,85,1
866,1,99,1
867,4,95,1
868,11,86,1
869,8,89,1
870,153,-123,1
871,1,99,1
872,36,51,1
873,1,99,1
874,40,43,1
875,1,99,1
876,178,-163,1
877,61,12,1
878,17,77,1
879,1,99,1
880,18,75,1
881,12,84,1
882,1,99,1
883,67,1,1
884,10,88,1
885,5,94,1
886,66,0,1
887,9,89,1
888,17,76,1
889,45,36,1
890,1,99,1
891,16,79,1
892,25,63,1
893,31,58,1
894,43,35,1
895,36,49,1
896,1,99,1
897,1,99,1
898,125,-87,1
899,90,-31,1
900,4,94,1
901,8,88,1
902,2,96,1
903,25,65,1
904,60,10,1
905,6,91,1
906,38,48,1
907,6,92,1
908,45,33,1
909,40,42,1
910,18,76,1
911,110,-61,1
912,26,64,1
913,29,63,1
914,18,74,1
915,27,64,1
916,8,89,1
917,1,99,1
918,40,49,1
919,47,35,1
920,16,81,1
921,39,48,1
922,28,62,1
923,54,20,1
924,97,-44,1
925,3,96,1
926,16,76,1
927,102,-44,1
928,50,31,1
929,27,63,1
930,6,92,1
931,16,78,1
932,1,99,1
933,10,85,1
934,11,87,1
935,37,45,1
936,31,58,1
937,21,72,1
938,10,86,1
939,14,79,1
940,75,-7,1
941,1,99,1
942,54,24,1
943,96,-39,1
944,99,-47,1
945,26,61,1
946,49,34,1
947,54,20,1
948,16,80,1
949,49,34,1
950,9,88,1
951,46,32,1
952,2,97,1
953,2,98,1
954,5,94,1
955,1,99,1
956,43,39,1
957,10,87,1
958,8,90,1
959,36,48,1
960,36,48,1
961,86,-21,1
962,14,80,1
963,42,41,1
964,21,71,1
965,21,72,1
966,1,98,1
967,13,86,1
968,2,97,1
969,34,51,1
970,24,70,1
971,16,78,1
972,49,28,1
973,31,57,1
974,48,34,1
975,66,5,1
976,5,93,1
977,68,7,1
978,52,24,1
979,2,97,1
980,121,-73,1
981,4,95,1
982,65,3,1
983,63,4,1
984,1,98,1
985,35,49,1
986,25,64,1
987,21,70,1
988,3,96,1
989,2,97,1
990,13,81,1
991,1,99,1
992,2,97,1
993,18,75,1
994,72,-7,1
995,1,99,1
996,59,15,1
997,3,96,1
998,7,91,1
999,1,98,1
1000,1,99,1
